Precinct,Borough,Year,Address,Latitude,Longitude,RadioRuns,RapeComplaints,FelonyAssaultComplaints,MurderComplaints,TotalComplaints
40,Bronx,2019,"257 Alexander Ave, Bronx, NY 10454",40.816339,-73.895674,3031,8,139,2,149
42,Bronx,2019,"830 Washington Ave, Bronx, NY 10451",40.822464,-73.911233,1494,1,55,2,58
44,Bronx,2019,"2 E 169th St, Bronx, NY 10452",40.8373048,-73.9200285,2967,9,149,2,160
45,Bronx,2019,"2877 Barkley Ave, Bronx, NY 10465",40.830843,-73.827323,650,1,37,1,39
46,Bronx,2019,"2120 Ryer Ave, Bronx, NY 10457",40.85403,-73.90009,3400,8,111,2,121
48,Bronx,2019,"450 Cross Bronx Expy, Bronx, NY 10457",40.868591,-73.880447,2486,12,66,5,83
52,Bronx,2019,"3016 Webster Ave, Bronx, NY 10467",40.868591,-73.880447,1373,8,62,3,73
60,Brooklyn,2019,"2951 W 8th St, Brooklyn, NY 11224",40.576515,-73.9760975,635,2,13,1,16
63,Brooklyn,2019,"1844 Brooklyn Ave, Brooklyn, NY 11210",40.627962,-73.941607,952,6,40,2,48
66,Brooklyn,2019,"5822 16th Ave, Brooklyn, NY 11204",40.6257785,-73.9913549,298,5,16,1,22
70,Brooklyn,2019,"154 Lawrence Ave, Brooklyn, NY 11230",40.630353,-73.973721,1364,3,47,2,52
77,Brooklyn,2019,"127 Utica Ave, Brooklyn, NY 11213",40.674774,-73.930245,689,0,14,1,15
79,Brooklyn,2019,"263 Tompkins Ave, Brooklyn, NY 11216",40.6888386,-73.9447061,702,1,33,1,35
83,Brooklyn,2019,"480 Knickerbocker Ave, Brooklyn, NY 11237",40.698154,-73.917871,1503,11,75,2,88
88,Brooklyn,2019,"298 Classon Ave, Brooklyn, NY 11205",40.68961334,-73.96016693,361,1,21,1,23
103,Queens,2019,"168-02 91st Ave, Jamaica, NY 11432",40.706604,-73.792428,962,6,67,1,74
104,Queens,2019,"6402 Catalpa Ave, Ridgewood, NY 11385",40.704237,-73.893549,552,3,20,2,25
105,Queens,2019,"92-08 222nd St, Queens Village, NY 11428",40.7261701,-73.7351286,947,5,38,1,44
106,Queens,2019,"103-53 101st St, Ozone Park, NY 11417",40.682199,-73.839749,647,1,49,1,51
107,Queens,2019,"71-01 Parsons Blvd, Fresh Meadows, NY 11365",40.731037,-73.810764,470,3,28,2,33
108,Queens,2019,"547 50th Ave, Long Island City, NY 11101",40.742729,-73.954109,335,1,23,1,25
111,Queens,2019,"45-06 215th St, Bayside, NY 11361",40.7782354,-73.7730247,161,0,14,1,15
113,Queens,2019,"167-02 Baisley Blvd, Jamaica, NY 11434",40.68871,-73.765468,2743,11,143,4,158
115,Queens,2019,"92-15 Northern Blvd, Jackson Heights, NY 11372",40.75598907,-73.8807373,606,7,34,1,42
121,Staten Island,2019,"970 Richmond Ave, Staten Island, NY 10314",40.6236028,-74.1501718,656,0,27,1,28
122,Staten Island,2019,"2320 Hylan Blvd, Staten Island, NY 10306",40.5741323,-74.1054951,496,0,11,3,14
123,Staten Island,2019,"116 Main St, Staten Island, NY 10307",40.515166,74.245183,496,0,15,2,17
